customer_id,name,lat,lng,address,dwelling_type,current_item,drop_location_text,photo_filename,preferred_time_slot,depot_id,is_active
C0040,岡本 裕子,34.989572,135.81321,京都市山科区音羽中堀町2丁目22-3,戸建て,定番 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0041,金子 俊介,34.946516,135.76963,京都市伏見区墨染町3丁目17-13,戸建て,プチママ 2人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0042,長谷川 美咲,34.97675,135.807786,京都市山科区大宅御所田町4丁目2-6,戸建て,ベジミール,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0043,石井 太郎,34.972115,135.815771,京都市山科区椥辻平田町1丁目9-11,戸建て,プチママ 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0044,長谷川 剛,34.989196,135.818807,京都市山科区音羽中堀町1丁目17-3,戸建て,Lovyu 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0045,高橋 健一,34.954325,135.816518,京都市伏見区石田森南町3丁目1-8 ファミール203号,集合住宅,定番 3人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0046,中川 大輔,34.953023,135.762998,京都市伏見区竹田真幡木町3丁目8-2,戸建て,定番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0047,高橋 花子,34.951837,135.77108,京都市伏見区竹田真幡木町3丁目31-10,戸建て,定番 3人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0048,斎藤 直樹,34.987332,135.81323,京都市山科区竹鼻地蔵寺南町1丁目19-17,戸建て,定番 3人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0049,林 浩,34.972358,135.810577,京都市山科区東野百拍子町1丁目1-5,戸建て,キットde楽! 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0050,岡田 太郎,34.95511,135.809902,京都市山科区小野葛籠尻町1丁目30-16,戸建て,プチママ 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0051,清水 浩,34.960405,135.80893,京都市伏見区石田森南町4丁目12-5,戸建て,キットde楽! 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0052,井上 修,34.931535,135.807019,宇治市六地蔵奈良町2丁目21-6,戸建て,Lovyu 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0053,石川 美咲,34.950809,135.810157,京都市伏見区石田森南町2丁目7-1 ライオンズマンション302号,集合住宅,プチママ 3人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0054,山口 直人,34.974661,135.810178,京都市山科区大宅細田町1丁目22-6,戸建て,定番 3人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0055,前田 香織,34.947622,135.812859,京都市伏見区石田大受町1丁目26-3 パセオ508号,集合住宅,食番 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0056,松田 陽子,34.99121,135.815904,京都市山科区音羽中堀町3丁目24-10 パセオ506号,集合住宅,Cut Meal 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0057,石井 健一,34.951455,135.808227,京都市伏見区小栗栖森本町2丁目9-4 ベルメゾン308号,集合住宅,Cut Meal 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0058,伊藤 修,34.958199,135.815359,京都市伏見区小栗栖中山田町4丁目6-7,戸建て,キットde楽! 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0059,橋本 友美,34.991281,135.818678,京都市山科区音羽中堀町4丁目30-10 グランドメゾン208号,集合住宅,プチママ 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0060,藤田 修,34.952413,135.813639,京都市山科区小野葛籠尻町2丁目11-5,戸建て,キットde楽! 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0061,遠藤 幸子,34.933989,135.803195,宇治市木幡東中4丁目2-4,戸建て,プチママ 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0062,中村 裕子,34.991505,135.819648,京都市山科区竹鼻西ノ口町2丁目16-1,戸建て,ベジミール,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0063,鈴木 浩,34.984233,135.808369,京都市山科区大宅御所田町4丁目23-8 エクセレンス505号,集合住宅,Lovyu 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0064,池田 直人,34.972959,135.814699,京都市山科区大宅神納町4丁目22-5,戸建て,定番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0065,太田 健一,34.959552,135.810812,京都市山科区小野西浦3丁目27-10 パセオ402号,集合住宅,Cut Meal 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0066,林 真由美,34.934287,135.804446,宇治市木幡御蔵山平野部4丁目12-17,戸建て,食番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0067,中島 拓也,34.945077,135.817298,京都市伏見区石田大受町1丁目24-1,戸建て,プチママ 3人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0068,加藤 誠,34.982724,135.816408,京都市山科区大宅神納町4丁目14-16,戸建て,プチママ 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0069,松田 裕子,34.956093,135.763215,京都市伏見区竹田久保町4丁目7-1,戸建て,定番 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0070,遠藤 麻衣,34.954795,135.814962,京都市伏見区醍醐高畑町4丁目12-1,戸建て,プチママ 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0071,青木 拓也,34.97008,135.80945,京都市山科区東野中井手町4丁目17-6 エクセレンス302号,集合住宅,プチママ 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0072,石井 誠,34.948308,135.765676,京都市伏見区深草加賀屋敷町2丁目32-1,戸建て,Lovyu 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0073,石井 修,34.988939,135.80933,京都市山科区竹鼻西ノ口町3丁目2-1,戸建て,定番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0074,近藤 久美子,34.944728,135.812039,京都市伏見区石田森南町4丁目31-3 グランドメゾン401号,集合住宅,定番 3人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0075,池田 和也,34.970142,135.811981,京都市山科区大宅神納町4丁目5-16 パセオ208号,集合住宅,プチママ 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0076,井上 浩,34.9877,135.812845,京都市山科区音羽役所前2丁目11-17 パセオ206号,集合住宅,Lovyu 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0077,中川 誠,34.971768,135.810058,京都市山科区椥辻平田町2丁目22-8,戸建て,定番 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0078,斉藤 優子,34.934506,135.802452,宇治市木幡南端2丁目2-5,戸建て,Cut Meal 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0079,岡田 久美子,34.95605,135.816064,京都市伏見区石田森南町3丁目28-7,戸建て,Cut Meal 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0080,高橋 浩,34.987706,135.809683,京都市山科区音羽平林町4丁目28-7 パセオ104号,集合住宅,キットde楽! 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0081,岡本 花子,34.970448,135.814694,京都市山科区勧修寺東栗栖野町2丁目27-3,戸建て,プチママ 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0082,石川 雅人,34.990716,135.813994,京都市山科区音羽中堀町1丁目12-6,戸建て,Cut Meal 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0083,岡本 大輔,34.970801,135.818397,京都市山科区椥辻中在家町2丁目31-11,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0084,太田 俊介,34.942301,135.814458,京都市伏見区醍醐高畑町2丁目15-16,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0085,山本 陽子,34.974104,135.818197,京都市山科区大宅神納町3丁目27-16,戸建て,定番 3人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0086,中村 修,34.961277,135.81078,京都市伏見区醍醐高畑町3丁目23-3,戸建て,定番 3人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0087,木村 幸子,34.949671,135.810478,京都市山科区小野西浦2丁目8-8,戸建て,プチママ 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0088,中川 幸子,34.990012,135.819364,京都市山科区竹鼻竹ノ街道町1丁目6-8,戸建て,ベジミール,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0089,藤井 健一,34.928337,135.801291,宇治市六地蔵奈良町2丁目2-5 グランドメゾン604号,集合住宅,定番 3人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0090,藤井 美咲,34.947695,135.762776,京都市伏見区深草瓦町3丁目32-3,戸建て,プチママ 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0091,石川 智子,34.988718,135.811693,京都市山科区音羽中堀町4丁目3-16 エクセレンス301号,集合住宅,Cut Meal 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0092,池田 優子,34.989259,135.815548,京都市山科区音羽役所前4丁目29-17,戸建て,食番 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0093,中川 俊介,34.981345,135.813861,京都市山科区椥辻草海道町1丁目5-4 パセオ203号,集合住宅,ベジミール,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0094,藤田 恵美,34.99015,135.815818,京都市山科区音羽前出町1丁目5-9,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0095,金子 修,34.984369,135.810471,京都市山科区西野今屋敷町4丁目1-8 ライオンズマンション604号,集合住宅,食番 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0096,加藤 智子,34.960434,135.810824,京都市山科区小野西浦4丁目29-13 グランドメゾン404号,集合住宅,食番 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0097,中川 修,34.969447,135.818616,京都市山科区西野楳本町2丁目9-8,戸建て,定番 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0098,斎藤 陽子,34.95313,135.815158,京都市伏見区小栗栖森本町4丁目3-9 ベルメゾン407号,集合住宅,Lovyu 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0099,村上 雅人,34.954106,135.762956,京都市伏見区深草加賀屋敷町2丁目13-13,戸建て,定番 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0100,池田 大輔,34.950023,135.761181,京都市伏見区墨染町2丁目30-13 エクセレンス204号,集合住宅,Cut Meal 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0101,木村 誠,34.963823,135.815569,京都市伏見区醍醐川久保町1丁目3-7 ベルメゾン602号,集合住宅,定番 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0102,山口 達也,34.950567,135.811163,京都市山科区小野葛籠尻町3丁目18-11,戸建て,定番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0103,斉藤 大輔,34.959673,135.768539,京都市伏見区深草瓦町2丁目9-15 パセオ106号,集合住宅,プチママ 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0104,中川 翔太,34.947793,135.769983,京都市伏見区墨染町2丁目18-18 ベルメゾン104号,集合住宅,食番 2人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0105,橋本 達也,34.977961,135.812381,京都市山科区西野今屋敷町3丁目13-6,戸建て,キットde楽! 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0106,石川 和也,34.970942,135.809595,京都市山科区椥辻平田町4丁目12-6,戸建て,Lovyu 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0107,石川 剛,34.964229,135.761732,京都市伏見区深草西浦町2丁目16-18,戸建て,Cut Meal 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0108,田中 明美,34.983177,135.806957,京都市山科区大宅細田町2丁目7-5 ファミール105号,集合住宅,定番 3人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0109,田中 誠,34.945467,135.768664,京都市伏見区深草直違橋2丁目19-7,戸建て,プチママ 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0110,山口 和也,34.952866,135.808613,京都市伏見区醍醐多羅尾町1丁目10-10,戸建て,プチママ 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0111,井上 大輔,34.99148,135.816806,京都市山科区竹鼻地蔵寺南町3丁目17-7,戸建て,定番 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0112,高橋 香織,34.989675,135.813957,京都市山科区竹鼻地蔵寺南町2丁目8-13,戸建て,プチママ 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0113,長谷川 明美,34.958153,135.768235,京都市伏見区竹田久保町4丁目8-13 エクセレンス106号,集合住宅,定番 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0114,山下 達也,34.955521,135.763938,京都市伏見区竹田久保町1丁目12-4,戸建て,食番 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0115,林 麻衣,34.98432,135.815128,京都市山科区大宅御所田町1丁目32-16 パセオ104号,集合住宅,ベジミール,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0116,山下 花子,34.950119,135.813403,京都市伏見区小栗栖森本町2丁目21-13,戸建て,Lovyu 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0117,山田 恵美,34.95823,135.815369,京都市山科区小野西浦1丁目5-12 ベルメゾン403号,集合住宅,プチママ 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0118,近藤 雅人,34.986887,135.809743,京都市山科区竹鼻西ノ口町2丁目30-6,戸建て,ベジミール,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0119,福田 優子,34.947106,135.810641,京都市山科区小野西浦4丁目8-8 グランドメゾン107号,集合住宅,食番 2人用,オートロック呼出後 玄関前,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0120,村上 直人,34.981962,135.814304,京都市山科区西野楳本町4丁目17-16 パセオ308号,集合住宅,食番 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0121,橋本 智子,34.972326,135.814139,京都市山科区大宅神納町3丁目19-16,戸建て,食番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0122,前田 拓也,34.952526,135.813908,京都市伏見区醍醐高畑町2丁目8-13 ライオンズマンション504号,集合住宅,定番 3人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0123,山田 剛,34.929044,135.799835,宇治市木幡御蔵山平野部2丁目32-10 ファミール203号,集合住宅,プチママ 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0124,木村 恵美,34.972135,135.817524,京都市山科区勧修寺平田町3丁目15-11,戸建て,プチママ 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0125,吉田 裕子,34.952864,135.759391,京都市伏見区深草瓦町2丁目18-17 グランドメゾン306号,集合住宅,食番 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0126,井上 誠,34.975606,135.807958,京都市山科区椥辻中在家町1丁目1-12,戸建て,食番 2人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0127,小林 剛,34.98836,135.811496,京都市山科区音羽役所前4丁目24-14,戸建て,Lovyu 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0128,松田 優子,34.98786,135.812393,京都市山科区音羽中堀町2丁目4-1 ライオンズマンション502号,集合住宅,Cut Meal 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0129,伊藤 智子,34.946469,135.81644,京都市山科区小野葛籠尻町2丁目27-2,戸建て,プチママ 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0130,太田 誠,34.980994,135.817712,京都市山科区西野今屋敷町2丁目25-1,戸建て,定番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0131,佐々木 俊介,34.968593,135.814809,京都市山科区大宅御所田町2丁目21-13 ベルメゾン204号,集合住宅,定番 3人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0132,小川 陽子,34.948823,135.809605,京都市山科区小野西浦4丁目13-10 パセオ604号,集合住宅,Lovyu 2人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0133,岡本 俊介,34.971236,135.806071,京都市山科区大宅神納町4丁目9-17,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0134,伊藤 香織,34.948853,135.813879,京都市伏見区醍醐高畑町4丁目18-15,戸建て,プチママ 2人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0135,木村 香織,34.945447,135.76626,京都市伏見区深草西浦町1丁目27-8,戸建て,定番 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0136,岡田 香織,34.987214,135.817129,京都市山科区竹鼻西ノ口町2丁目19-12,戸建て,Lovyu 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0137,長谷川 明美,34.937484,135.798297,宇治市六地蔵町並3丁目3-7 ファミール407号,集合住宅,Cut Meal 2人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0138,鈴木 直樹,34.969577,135.807848,京都市山科区椥辻中在家町1丁目21-15,戸建て,キットde楽! 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0139,近藤 久美子,34.989176,135.81682,京都市山科区竹鼻西ノ口町4丁目26-7,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0140,後藤 明美,34.936525,135.802893,宇治市六地蔵町並2丁目11-13,戸建て,プチママ 3人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
